year,to,from,points
1997,Denmark,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,19
1997,France,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,48
1997,Germany,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1997,Greece,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,24
1997,Ireland,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,114
1997,Italy,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,69
1997,Netherlands,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,1
1997,Norway,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1997,Portugal,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1997,Spain,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,57
1997,Sweden,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
1997,Switzerland,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1997,Turkey,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,76
1997,United Kingdom,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,144
1998,Belgium,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,79
1998,Cyprus,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,22
1998,Finland,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
1998,France,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,1
1998,Germany,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,71
1998,Greece,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
1998,Ireland,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
1998,Israel,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,121
1998,Netherlands,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,107
1998,Norway,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,51
1998,Portugal,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,28
1998,Spain,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1998,Sweden,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
1998,Switzerland,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1998,Turkey,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1998,United Kingdom,BelgiumCyprusFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,93
1999,Austria,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,42
1999,Belgium,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,27
1999,Cyprus,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,2
1999,Denmark,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,43
1999,France,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,12
1999,Germany,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,94
1999,Ireland,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,6
1999,Israel,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,61
1999,Netherlands,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,52
1999,Norway,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,21
1999,Portugal,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,12
1999,Spain,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,0
1999,Sweden,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,101
1999,Turkey,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,21
1999,United Kingdom,AustriaBelgiumCyprusDenmarkFranceGermanyIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,17
2000,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,24
2000,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2000,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2000,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,142
2000,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,7
2000,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,2
2000,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,77
2000,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,68
2000,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,6
2000,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,32
2000,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,38
2000,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,11
2000,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,69
2000,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,7
2000,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,54
2000,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyIrelandIsraelNetherlandsNorwaySpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2001,Denmark,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,102
2001,France,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,68
2001,Germany,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,46
2001,Greece,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,85
2001,Ireland,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,6
2001,Israel,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,19
2001,Netherlands,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,11
2001,Norway,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,3
2001,Portugal,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,18
2001,Spain,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,60
2001,Sweden,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,56
2001,Turkey,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,30
2001,United Kingdom,DenmarkFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,11
2002,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,25
2002,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,24
2002,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
2002,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
2002,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
2002,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,79
2002,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
2002,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
2002,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
2002,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,69
2002,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
2002,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2002,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
2002,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIsraelSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
2003,Austria,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,64
2003,Belgium,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,94
2003,Cyprus,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,13
2003,France,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,2
2003,Germany,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,25
2003,Greece,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,22
2003,Ireland,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,38
2003,Israel,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,12
2003,Netherlands,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,26
2003,Norway,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,63
2003,Portugal,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,10
2003,Spain,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,56
2003,Sweden,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,48
2003,Turkey,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,114
2003,United Kingdom,AustriaBelgiumCyprusFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenTurkeyUnited Kingdom,0
2004,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
2004,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
2004,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,98
2004,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
2004,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,64
2004,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,110
2004,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,7
2004,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
2004,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
2004,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,59
2004,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,88
2004,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,113
2004,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2005,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
2005,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,71
2005,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
2005,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2005,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,130
2005,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,73
2005,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,56
2005,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
2005,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
2005,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,39
2005,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,66
2005,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
2006,Denmark,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,17
2006,Finland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,146
2006,France,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2006,Germany,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,28
2006,Greece,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,61
2006,Ireland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,46
2006,Israel,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
2006,Norway,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2006,Spain,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2006,Sweden,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,67
2006,Switzerland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
2006,Turkey,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,60
2006,United Kingdom,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
2007,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,22
2007,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2007,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,33
2007,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,64
2007,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
2007,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,25
2007,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,39
2007,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,108
2007,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,7
2008,Denmark,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
2008,Finland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
2008,France,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
2008,Germany,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,2
2008,Greece,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,81
2008,Israel,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
2008,Norway,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,73
2008,Portugal,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
2008,Spain,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
2008,Sweden,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,23
2008,Turkey,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,64
2008,United Kingdom,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
2009,Denmark,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,23
2009,Finland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
2009,France,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,42
2009,Germany,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,30
2009,Greece,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,34
